benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,abcdSAT_drup,default,154067,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,glucose_hack_kiel_newScript,main_new,154744,complete,1453.69,UNSAT,complete,798.343,3452896.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Beans And Eggs,default,154732,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,cmsat5_main2,default,154241,timeout (cpu),4999.43,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,cmsat5_autotune2,default,154243,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,glueminisat-2.2.10-81-main,maintrack,154247,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,gulch,default,154330,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,YalSAT 03r,default,154460,timeout (cpu),4997.11,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Lingeling bbc main,default,154468,complete,2508.06,UNSAT,complete,2326.7,3306580.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,glucose,default,154473,complete,4260.73,UNSAT,complete,1571.31,6999724.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,CHBR_glucose,default,154584,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,CHBR_glucose_tuned,default,154586,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,tb_glucose,default,154588,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,tc_glucose,default,154590,complete,1415.47,UNSAT,complete,891.783,3452896.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,COMiniSatPS Chandrasekhar DRUP,drup,154592,timeout (cpu),4999.53,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,timeout (cpu),4999.72,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,timeout (cpu),4998.82,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,complete,2688.84,UNSAT,complete,1445.28,6999064.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Splatz 06v main,default,154625,complete,1102.24,UNSAT,complete,313.668,2372116.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Riss6,noPP_DRAT,154658,complete,3793.62,UNSAT,complete,2492.66,5074196.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Riss6,default_DRAT,154659,complete,3247.96,UNSAT,complete,1585.59,5074196.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Riss6,blackbox_DRAT,154660,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,Glucose_nbSat,default,155265,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,MapleCMS,default,154687,timeout (cpu),4999.12,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,MapleGlucose,default,154710,complete,4434.32,UNSAT,complete,1432.27,6999328.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,glue_alt,default,152939,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
