pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
212246980,RandomSat/unif-k3-r3.9-v1000000-c3900000-S8749300446596461392.cnf.bz2,2846029,YalSAT 03r,7211,default,154456,complete,38.655,37.4547,198580.0,SAT-VERIFIED
212246976,RandomSat/unif-k3-r3.92-v1000000-c3920000-S8206591518015476649.cnf.bz2,2846025,YalSAT 03r,7211,default,154456,complete,43.7256,42.5239,199388.0,SAT-VERIFIED
212246977,RandomSat/unif-k3-r3.94-v1000000-c3940000-S7324174584112857140.cnf.bz2,2846026,YalSAT 03r,7211,default,154456,complete,48.3784,47.1422,200184.0,SAT-VERIFIED
212246978,RandomSat/unif-k3-r3.96-v1000000-c3960000-S6642130359873877999.cnf.bz2,2846027,YalSAT 03r,7211,default,154456,complete,55.1889,53.9388,200988.0,SAT-VERIFIED
212246979,RandomSat/unif-k3-r3.98-v1000000-c3980000-S4483455880868323253.cnf.bz2,2846028,YalSAT 03r,7211,default,154456,complete,61.1633,59.901,201784.0,SAT-VERIFIED
212246985,RandomSat/unif-k3-r4.0-v1000000-c4000000-S421241507505890786.cnf.bz2,2846034,YalSAT 03r,7211,default,154456,complete,68.5659,67.2866,202588.0,SAT-VERIFIED
212246981,RandomSat/unif-k3-r4.02-v1000000-c4020000-S5204508867733191120.cnf.bz2,2846030,YalSAT 03r,7211,default,154456,complete,84.2919,83.004,203384.0,SAT-VERIFIED
212246982,RandomSat/unif-k3-r4.04-v1000000-c4040000-S7189437703571674553.cnf.bz2,2846031,YalSAT 03r,7211,default,154456,complete,89.3372,87.9229,204192.0,SAT-VERIFIED
212246983,RandomSat/unif-k3-r4.06-v1000000-c4060000-S3278134390436451777.cnf.bz2,2846032,YalSAT 03r,7211,default,154456,complete,119.025,117.69,204984.0,SAT-VERIFIED
212246984,RandomSat/unif-k3-r4.08-v1000000-c4080000-S96148875844944731.cnf.bz2,2846033,YalSAT 03r,7211,default,154456,complete,153.373,152.04,205792.0,SAT-VERIFIED
212246990,RandomSat/unif-k3-r4.1-v1000000-c4100000-S5634529820531276928.cnf.bz2,2846039,YalSAT 03r,7211,default,154456,complete,177.334,176.006,206584.0,SAT-VERIFIED
212246986,RandomSat/unif-k3-r4.12-v1000000-c4120000-S4897359626537563815.cnf.bz2,2846035,YalSAT 03r,7211,default,154456,complete,253.9,252.464,207392.0,SAT-VERIFIED
212246987,RandomSat/unif-k3-r4.14-v1000000-c4140000-S8555830465427351988.cnf.bz2,2846036,YalSAT 03r,7211,default,154456,complete,429.63,428.136,208188.0,SAT-VERIFIED
212246988,RandomSat/unif-k3-r4.16-v1000000-c4160000-S7482062526856367510.cnf.bz2,2846037,YalSAT 03r,7211,default,154456,complete,718.643,716.948,208996.0,SAT-VERIFIED
